tipo_celular,module_size,ATP5MG_MM,ATP5MG_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249,0.132,37.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69),NA,2.88
T cells 18,506,0.198,55.0,225,26,11.56,3.24 (2.79-3.69),199,88.44,3.68 (3.40-3.97),3.47,8.48
astrocytes 5,328,0.093,11.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,628,0.157,45.0,164,17,10.37,3.38 (2.91-3.85),147,89.63,4.20 (3.83-4.57),4.12,7.92
GABA neurons expressing GLU receptors 22,848,0.159,27.0,262,12,4.58,2.87 (1.96-3.78),250,95.42,4.25 (4.00-4.50),2.74,4.17
GLU like neurons 17,1247,0.128,46.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,1220,0.204,58.0,410,56,13.66,3.46 (3.24-3.69),354,86.34,4.42 (4.21-4.64),15.91,6.19
GABA neurons expressing GABA receptors 13,417,0.128,25.0,213,62,29.11,2.99 (2.66-3.32),151,70.89,4.24 (3.93-4.55),13.68,8.04
endothelial cells 9,916,0.369,81.0,302,48,15.89,3.51 (3.23-3.78),254,84.11,4.11 (3.83-4.38),18.03,9.26
oligodendrocytes 20,250,0.164,43.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2402,0.433,83.0,455,57,12.53,3.10 (2.74-3.45),398,87.47,4.59 (4.39-4.79),18.73,7.42
astrocytes 8,603,0.053,27.0,89,5,5.62,1.56 (0.90-2.23),84,94.38,2.86 (2.49-3.23),4.67,6.12
oligodendrocyte progenitor cells 12,1049,0.19,83.0,235,37,15.74,3.71 (3.47-3.96),198,84.26,3.85 (3.57-4.13),6.18,7.88
oligodendrocytes 10,735,0.158,79.0,277,21,7.58,3.92 (3.85-3.99),256,92.42,3.89 (3.63-4.16),4.32,9.33
connective tissue cells 21,301,0.312,33.0,158,1,0.63,0.55 (NA-NA),157,99.37,4.29 (3.92-4.65),5.13,7.08
astrocytes 15,1401,0.025,2.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,113,0.171,24.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75),NA,1.88
da neurons 6,729,0.219,79.0,182,12,6.59,3.52 (2.87-4.16),170,93.41,3.65 (3.38-3.91),12.06,8.27
astrocytes microglia 23,37,0.32,50.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.119,11.0,104,10,9.62,1.24 (0.77-1.72),94,90.38,3.05 (2.77-3.33),12.58,4.63
oligodendrocytes 0,546,0.101,12.0,252,53,21.03,3.00 (2.62-3.38),199,78.97,4.51 (4.22-4.79),8.20,8.21
microglia 1,406,0.198,55.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63),NA,6.74
oligodendrocytes 3,303,0.101,32.0,154,1,0.65,NA,153,99.35,3.62 (3.30-3.94),1.74,11.91
oligodendrocytes 2,526,0.196,28.0,213,42,19.72,3.76 (3.57-3.95),171,80.28,4.05 (3.69-4.41),8.73,7.74
