tipo_celular,module_size,DMD_MM,DMD_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305.0,0.228,65.0,15,7,46.67,5.71 (4.80-6.62),8,53.33,5.93 (4.70-7.17),2.51,2.18
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.205,76.0,32,5,15.62,4.61 (4.36-4.87),27,84.38,5.12 (4.52-5.72),4.74,3.62
oligodendrocyte progenitor cells 7,436.0,0.186,78.0,219,44,20.09,4.75 (4.29-5.20),175,79.91,5.38 (5.03-5.73),6.50,4.14
GABA neurons expressing GLU receptors 22,823.0,0.373,100.0,23,3,13.04,2.38 (1.03-3.73),20,86.96,2.40 (1.55-3.24),1.82,3.66
GLU like neurons 17,489.0,0.376,96.0,42,18,42.86,5.60 (4.98-6.22),24,57.14,6.50 (5.54-7.46),3.70,2.84
da like neurons 11,191.0,0.348,66.0,93,33,35.48,4.51 (4.04-4.99),60,64.52,6.61 (6.17-7.04),4.62,3.87
GABA neurons expressing GABA receptors 13,288.0,0.168,49.0,93,33,35.48,4.23 (3.55-4.92),60,64.52,5.85 (5.23-6.47),5.34,3.18
endothelial cells 9,303.0,0.513,96.0,54,17,31.48,5.44 (4.80-6.07),37,68.52,4.54 (3.68-5.40),5.00,5.05
oligodendrocytes 20,676.0,0.722,98.0,110,34,30.91,4.26 (3.56-4.95),76,69.09,5.48 (4.93-6.02),4.38,3.14
GABA like neurons 14,1300.0,0.29,85.0,306,90,29.41,4.11 (3.72-4.51),216,70.59,5.76 (5.46-6.06),8.86,5.81
astrocytes 8,771.0,0.182,62.0,48,4,8.33,5.16 (2.28-8.04),44,91.67,4.35 (3.56-5.13),2.11,3.24
oligodendrocyte progenitor cells 12,411.0,0.364,83.0,103,15,14.56,5.16 (4.28-6.03),88,85.44,5.64 (5.21-6.07),3.59,3.00
oligodendrocytes 10,236.0,0.504,54.0,82,8,9.76,3.34 (2.77-3.91),74,90.24,5.20 (4.64-5.76),3.33,3.89
connective tissue cells 21,147.0,0.278,69.0,4,1,25.0,5.06 (NA-NA),3,75.0,5.43 (4.83-6.04),2.30,4.13
astrocytes 15,458.0,0.168,78.0,36,2,5.56,7.59 (NA-NA),34,94.44,3.60 (2.52-4.68),1.84,2.62
oligodendrocytes 16,287.0,0.248,35.0,105,38,36.19,4.09 (3.44-4.73),67,63.81,6.06 (5.64-6.48),3.89,3.23
da neurons 6,398.0,0.181,61.0,138,38,27.54,3.40 (2.83-3.98),100,72.46,5.48 (5.09-5.88),2.95,2.65
astrocytes microglia 23,255.0,0.227,28.0,57,6,10.53,2.85 (2.28-3.43),51,89.47,2.63 (2.23-3.02),3.33,3.33
astrocytes 4,752.0,0.128,16.0,96,14,14.58,3.04 (2.36-3.72),82,85.42,3.34 (2.97-3.71),2.44,4.64
oligodendrocytes 0,479.0,0.243,91.0,40,11,27.5,5.71 (4.79-6.63),29,72.5,5.94 (5.31-6.58),3.33,3.52
microglia 1,127.0,0.25,66.0,24,7,29.17,5.15 (3.67-6.64),17,70.83,5.18 (4.40-5.95),2.78,2.35
oligodendrocytes 3,99.0,0.27,69.0,24,5,20.83,6.98 (6.03-7.93),19,79.17,6.29 (5.40-7.19),2.19,2.24
oligodendrocytes 2,237.0,0.237,61.0,26,1,3.85,NA,25,96.15,5.22 (4.28-6.15),1.54,2.59
