tipo_celular,module_size,NACA_MM,NACA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.357,71.0,98,13,13.27,2.30 (1.30-3.29),85,86.73,3.33 (2.82-3.84),11.68,13.73
T cells 18,506,0.242,65.0,225,25,11.11,3.35 (2.65-4.04),200,88.89,3.65 (3.38-3.92),12.88,7.28
astrocytes 5,328,0.243,76.0,128,9,7.03,4.62 (4.01-5.22),119,92.97,3.46 (3.09-3.82),4.39,6.94
oligodendrocyte progenitor cells 7,448,0.287,88.0,108,1,0.93,2.76 (NA-NA),107,99.07,3.26 (2.82-3.70),24.79,17.05
GABA neurons expressing GLU receptors 22,487,0.223,54.0,73,4,5.48,2.34 (0.49-4.19),69,94.52,2.78 (2.39-3.18),1.92,7.64
GLU like neurons 17,685,0.101,29.0,135,45,33.33,2.91 (2.43-3.40),90,66.67,3.34 (2.95-3.74),3.93,3.66
da like neurons 11,1220,0.185,51.0,410,31,7.56,4.14 (3.49-4.78),379,92.44,4.26 (4.06-4.45),13.66,7.01
GABA neurons expressing GABA receptors 13,417,0.122,20.0,213,23,10.8,1.64 (0.96-2.32),190,89.2,4.04 (3.81-4.26),10.35,9.60
endothelial cells 9,916,0.403,85.0,302,5,1.66,3.76 (1.57-5.95),297,98.34,3.99 (3.76-4.21),10.42,10.66
oligodendrocytes 20,271,0.202,62.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2402,0.483,87.0,455,36,7.91,2.83 (2.11-3.56),419,92.09,4.50 (4.32-4.69),22.59,7.65
astrocytes 8,603,0.102,66.0,89,7,7.87,1.39 (0.90-1.87),82,92.13,2.93 (2.56-3.29),5.74,6.07
oligodendrocyte progenitor cells 12,1049,0.277,90.0,235,12,5.11,4.57 (3.61-5.52),223,94.89,3.79 (3.55-4.03),13.15,7.32
oligodendrocytes 10,483,0.303,82.0,129,3,2.33,3.66 (2.76-4.56),126,97.67,3.42 (3.02-3.82),24.11,19.07
connective tissue cells 21,301,0.509,80.0,158,13,8.23,3.57 (2.63-4.51),145,91.77,4.35 (3.95-4.74),6.32,7.13
astrocytes 15,1768,0.063,26.0,105,21,20.0,2.16 (1.57-2.76),84,80.0,3.50 (3.13-3.87),4.86,3.76
oligodendrocytes 16,94,0.186,36.0,5,1,20.0,3.78 (NA-NA),4,80.0,2.59 (1.15-4.04),2.44,1.72
da neurons 6,729,0.165,57.0,182,3,1.65,1.40 (1.32-1.48),179,98.35,3.68 (3.43-3.93),4.01,8.60
astrocytes microglia 23,135,0.271,22.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,208,0.146,21.0,173,15,8.67,4.64 (4.04-5.24),158,91.33,3.67 (3.35-4.00),4.01,5.77
oligodendrocytes 0,546,0.191,62.0,252,30,11.9,2.65 (1.77-3.52),222,88.1,4.31 (4.07-4.55),15.96,7.16
microglia 1,406,0.409,79.0,278,7,2.52,4.86 (4.37-5.36),271,97.48,4.34 (4.06-4.62),1.92,6.86
oligodendrocytes 3,303,0.131,48.0,154,1,0.65,2.76 (NA-NA),153,99.35,3.63 (3.31-3.95),50.87,11.58
oligodendrocytes 2,526,0.239,44.0,213,1,0.47,7.18 (NA-NA),212,99.53,3.96 (3.69-4.23),2.68,7.96
