tipo_celular,module_size,RORA_MM,RORA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.173,48.0,15,1,6.67,NA,14,93.33,5.79 (5.09-6.49),1.77,2.38
T cells 18,388,0.19,68.0,84,10,11.9,2.65 (2.31-3.00),74,88.1,3.02 (2.65-3.39),2.10,4.62
astrocytes 5,222,0.429,98.0,98,9,9.18,4.00 (2.63-5.37),89,90.82,4.67 (4.25-5.10),3.16,2.60
oligodendrocyte progenitor cells 7,436,0.221,88.0,219,14,6.39,4.13 (3.29-4.98),205,93.61,5.31 (5.01-5.61),5.33,4.56
GABA neurons expressing GLU receptors 22,459,0.338,93.0,165,18,10.91,3.37 (2.54-4.21),147,89.09,5.38 (5.04-5.73),3.88,4.11
GLU like neurons 17,685,0.066,9.0,135,37,27.41,2.25 (1.87-2.62),98,72.59,3.63 (3.25-4.00),3.73,3.75
da like neurons 11,191,0.404,77.0,93,5,5.38,4.89 (4.03-5.76),88,94.62,5.71 (5.28-6.13),4.14,4.14
GABA neurons expressing GABA receptors 13,288,0.223,67.0,93,15,16.13,3.66 (2.68-4.64),78,83.87,5.54 (5.02-6.07),3.71,4.00
endothelial cells 9,586,0.615,97.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58),2.42,4.30
oligodendrocytes 20,275,0.232,63.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,1300,0.303,89.0,306,28,9.15,3.18 (2.55-3.80),278,90.85,5.38 (5.12-5.65),7.63,6.61
astrocytes 8,1266,0.519,100.0,66,23,34.85,2.08 (1.50-2.67),43,65.15,3.84 (3.39-4.30),3.37,2.73
oligodendrocyte progenitor cells 12,411,0.519,99.0,103,5,4.85,4.05 (2.60-5.50),98,95.15,5.65 (5.26-6.04),3.26,3.08
oligodendrocytes 10,1277,0.206,92.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,147,0.301,80.0,4,1,25.0,5.06 (NA-NA),3,75.0,5.43 (4.83-6.04),2.30,4.13
astrocytes 15,418,0.199,60.0,54,3,5.56,3.53 (3.35-3.70),51,94.44,3.69 (3.23-4.16),1.87,3.08
oligodendrocytes 16,149,0.431,92.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12),NA,3.31
da neurons 6,398,0.184,62.0,138,28,20.29,2.99 (2.35-3.62),110,79.71,5.40 (5.03-5.77),2.35,2.83
astrocytes microglia 23,122,0.43,88.0,46,3,6.52,5.24 (NA-NA),43,93.48,5.03 (4.45-5.60),2.04,3.29
astrocytes 4,201,0.405,99.0,18,7,38.89,3.50 (3.01-3.98),11,61.11,5.16 (3.91-6.41),2.99,3.16
oligodendrocytes 0,1186,0.121,18.0,300,20,6.67,3.62 (3.06-4.17),280,93.33,3.81 (3.59-4.03),4.29,4.15
microglia 1,127,0.23,65.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87),NA,2.47
oligodendrocytes 3,94,0.374,98.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73),NA,3.83
oligodendrocytes 2,347,0.205,55.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
