tipo_celular,module_size,HSPD1_MM,HSPD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.306,83.0,102,40,39.22,2.73 (2.28-3.18),62,60.78,3.97 (3.49-4.46),3.78,2.55
T cells 18,477,0.593,100.0,43,1,2.33,8.28 (NA-NA),42,97.67,1.85 (1.47-2.22),1.31,7.26
astrocytes 5,423,0.549,100.0,80,5,6.25,5.61 (3.14-8.08),75,93.75,3.23 (2.78-3.68),3.20,5.14
oligodendrocyte progenitor cells 7,666,0.733,100.0,127,27,21.26,2.76 (1.88-3.65),100,78.74,4.10 (3.76-4.43),3.79,6.39
GABA neurons expressing GLU receptors 22,599,0.321,89.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,380,0.193,66.0,39,4,10.26,2.99 (1.75-4.22),35,89.74,2.96 (2.36-3.57),2.42,2.59
da like neurons 11,1220,0.238,67.0,410,63,15.37,3.57 (3.13-4.01),347,84.63,4.38 (4.17-4.58),13.08,6.51
GABA neurons expressing GABA receptors 13,357,0.256,83.0,237,14,5.91,4.46 (3.83-5.09),223,94.09,4.40 (4.16-4.65),4.22,4.18
endothelial cells 9,385,0.542,100.0,275,90,32.73,3.07 (2.65-3.49),185,67.27,4.50 (4.21-4.80),8.15,4.78
oligodendrocytes 20,403,0.09,39.0,18,10,55.56,1.11 (0.51-1.71),8,44.44,2.84 (1.82-3.85),5.06,2.21
GABA like neurons 14,2402,0.264,59.0,455,80,17.58,3.12 (2.69-3.56),375,82.42,4.64 (4.46-4.83),17.22,7.05
astrocytes 8,577,0.478,100.0,83,9,10.84,4.96 (3.25-6.67),74,89.16,2.99 (2.57-3.40),3.59,4.58
oligodendrocyte progenitor cells 12,708,0.076,29.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08),1.92,2.59
oligodendrocytes 10,483,0.21,72.0,129,5,3.88,5.04 (3.37-6.71),124,96.12,3.34 (2.95-3.74),4.87,19.77
connective tissue cells 21,125,0.277,42.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,1768,0.133,85.0,105,31,29.52,1.97 (1.63-2.30),74,70.48,3.77 (3.38-4.16),5.82,3.21
oligodendrocytes 16,107,0.164,10.0,11,1,9.09,0.52 (NA-NA),10,90.91,1.58 (0.87-2.29),3.11,3.61
da neurons 6,409,0.194,77.0,235,32,13.62,3.51 (2.92-4.10),203,86.38,4.06 (3.79-4.34),7.12,3.99
astrocytes microglia 23,327,0.647,98.0,120,69,57.5,3.25 (2.82-3.68),51,42.5,4.12 (3.77-4.48),3.01,2.51
astrocytes 4,514,0.709,100.0,95,9,9.47,3.72 (1.75-5.70),86,90.53,3.32 (2.92-3.72),3.93,4.71
oligodendrocytes 0,613,0.219,94.0,127,21,16.54,3.21 (2.43-4.00),106,83.46,3.00 (2.52-3.49),2.98,6.93
microglia 1,480,0.442,98.0,163,19,11.66,3.90 (3.34-4.46),144,88.34,3.68 (3.39-3.97),3.01,5.45
oligodendrocytes 3,357,0.131,73.0,127,2,1.57,2.65 (2.03-3.27),125,98.43,3.13 (2.79-3.47),1.73,4.28
oligodendrocytes 2,528,0.192,45.0,175,41,23.43,4.38 (3.66-5.10),134,76.57,4.38 (3.97-4.78),7.05,3.88
