tipo_celular,module_size,POLR2B_MM,POLR2B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.167,29.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,477,0.2,74.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1656,0.147,92.0,136,12,8.82,3.18 (2.18-4.18),124,91.18,3.21 (2.93-3.49),4.83,5.00
oligodendrocyte progenitor cells 7,4285,0.126,36.0,353,43,12.18,1.94 (1.58-2.31),310,87.82,4.26 (4.08-4.43),28.43,5.24
GABA neurons expressing GLU receptors 22,599,0.25,70.0,22,2,9.09,2.36 (-0.42-5.14),20,90.91,2.23 (1.38-3.08),1.72,4.17
GLU like neurons 17,795,0.106,35.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,168,0.27,79.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,77,0.224,81.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.97
endothelial cells 9,385,0.072,16.0,275,35,12.73,1.71 (1.36-2.06),240,87.27,4.46 (4.21-4.71),15.38,4.50
oligodendrocytes 20,348,0.103,45.0,33,3,9.09,3.87 (2.47-5.28),30,90.91,2.61 (2.10-3.11),3.38,3.38
GABA like neurons 14,3052,0.189,87.0,125,3,2.4,4.17 (3.04-5.30),122,97.6,3.33 (3.00-3.66),5.53,8.69
astrocytes 8,727,0.106,49.0,29,2,6.9,2.49 (1.16-3.83),27,93.1,2.35 (1.83-2.88),3.46,3.55
oligodendrocyte progenitor cells 12,3303,0.113,85.0,276,34,12.32,2.07 (1.72-2.42),242,87.68,3.83 (3.60-4.05),13.36,3.95
oligodendrocytes 10,2107,0.114,35.0,358,46,12.85,2.00 (1.65-2.35),312,87.15,4.25 (4.07-4.44),30.07,6.44
connective tissue cells 21,125,0.278,42.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,1768,0.062,25.0,105,22,20.95,1.70 (1.34-2.05),83,79.05,3.66 (3.29-4.02),7.47,3.05
oligodendrocytes 16,85,0.293,87.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448,0.075,16.0,43,1,2.33,3.17 (NA-NA),42,97.67,3.28 (2.75-3.82),1.72,3.51
astrocytes microglia 23,125,0.348,68.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77),NA,2.03
astrocytes 4,1807,0.177,96.0,104,31,29.81,1.79 (1.49-2.09),73,70.19,3.37 (3.05-3.70),10.49,3.23
oligodendrocytes 0,2078,0.115,52.0,238,10,4.2,2.78 (1.85-3.72),228,95.8,3.68 (3.46-3.91),9.27,4.84
microglia 1,958,0.117,60.0,290,3,1.03,2.12 (1.04-3.20),287,98.97,3.84 (3.61-4.07),11.47,4.93
oligodendrocytes 3,1003,0.069,19.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630,0.114,8.0,154,1,0.65,5.16 (NA-NA),153,99.35,3.23 (2.96-3.50),1.63,3.61
