tipo_celular,module_size,HNRNPH3_MM,HNRNPH3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.188,43.0,17,1,5.88,3.05 (NA-NA),16,94.12,1.83 (1.19-2.47),1.36,5.50
T cells 18,518,0.13,30.0,131,6,4.58,3.02 (2.71-3.33),125,95.42,3.08 (2.79-3.37),4.61,4.76
astrocytes 5,1656,0.135,81.0,136,9,6.62,1.93 (1.48-2.38),127,93.38,3.31 (3.03-3.59),6.50,4.88
oligodendrocyte progenitor cells 7,4285,0.15,73.0,353,45,12.75,1.90 (1.60-2.20),308,87.25,4.28 (4.11-4.46),25.79,5.47
GABA neurons expressing GLU receptors 22,823,0.164,41.0,23,2,8.7,2.03 (0.03-4.04),21,91.3,2.44 (1.65-3.24),1.78,3.58
GLU like neurons 17,1316,0.078,12.0,101,1,0.99,2.83 (NA-NA),100,99.01,3.05 (2.70-3.41),2.12,3.06
da like neurons 11,408,0.124,32.0,25,7,28.0,1.85 (0.61-3.09),18,72.0,6.10 (4.78-7.43),2.02,2.38
GABA neurons expressing GABA receptors 13,265,0.124,30.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77),NA,4.26
endothelial cells 9,385,0.134,72.0,275,45,16.36,2.01 (1.69-2.32),230,83.64,4.56 (4.30-4.81),15.06,4.09
oligodendrocytes 20,275,0.105,15.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2402,0.166,30.0,455,31,6.81,1.94 (1.52-2.35),424,93.19,4.59 (4.41-4.77),18.77,8.11
astrocytes 8,771,0.086,35.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708,0.054,13.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,483,0.076,28.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,95,0.246,31.0,4,0,0.0,NA,4,100.0,3.47 (2.36-4.59),NA,1.71
astrocytes 15,1768,0.115,75.0,105,25,23.81,1.92 (1.54-2.31),80,76.19,3.66 (3.28-4.04),6.58,3.17
oligodendrocytes 16,156,0.144,8.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,518,0.113,54.0,122,8,6.56,1.35 (0.48-2.23),114,93.44,4.24 (3.85-4.62),3.79,3.46
astrocytes microglia 23,131,0.242,13.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.173,93.0,104,28,26.92,1.71 (1.40-2.03),76,73.08,3.33 (3.02-3.65),10.56,3.50
oligodendrocytes 0,613,0.196,89.0,127,20,15.75,2.49 (2.11-2.87),107,84.25,3.24 (2.71-3.77),3.83,6.73
microglia 1,1615,0.132,79.0,161,36,22.36,1.57 (1.30-1.85),125,77.64,3.91 (3.65-4.17),11.89,3.57
oligodendrocytes 3,743,0.131,89.0,76,1,1.32,2.44 (NA-NA),75,98.68,3.17 (2.77-3.57),1.44,7.37
oligodendrocytes 2,921,0.174,93.0,200,12,6.0,3.18 (2.66-3.70),188,94.0,3.66 (3.37-3.94),5.94,3.31
