tipo_celular,module_size,APPL1_MM,APPL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.141,17.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,610,0.206,83.0,98,27,27.55,2.11 (1.59-2.64),71,72.45,3.54 (3.20-3.88),5.89,3.33
astrocytes 5,1656,0.134,80.0,136,5,3.68,2.33 (1.10-3.56),131,96.32,3.25 (2.97-3.52),6.44,4.93
oligodendrocyte progenitor cells 7,4285,0.152,76.0,353,53,15.01,2.39 (2.03-2.76),300,84.99,4.22 (4.03-4.41),17.10,6.47
GABA neurons expressing GLU receptors 22,400,0.179,38.0,24,14,58.33,1.90 (1.18-2.63),10,41.67,2.51 (1.85-3.18),4.32,2.55
GLU like neurons 17,1316,0.066,7.0,101,3,2.97,3.50 (2.78-4.22),98,97.03,3.03 (2.67-3.40),2.31,3.08
da like neurons 11,289,0.133,28.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,266,0.152,48.0,118,6,5.08,4.51 (3.33-5.69),112,94.92,4.75 (4.38-5.12),3.81,4.00
endothelial cells 9,1653,0.046,1.0,297,16,5.39,3.86 (3.55-4.17),281,94.61,3.66 (3.44-3.88),4.78,5.56
oligodendrocytes 20,275,0.151,30.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29),1.67,4.46
GABA like neurons 14,2402,0.204,43.0,455,48,10.55,2.99 (2.48-3.49),407,89.45,4.54 (4.35-4.73),18.99,7.64
astrocytes 8,354,0.114,47.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303,0.072,41.0,276,38,13.77,2.46 (2.06-2.86),238,86.23,3.75 (3.51-3.99),7.65,4.70
oligodendrocytes 10,2107,0.07,13.0,358,62,17.32,2.42 (2.09-2.75),296,82.68,4.26 (4.07-4.46),15.77,8.15
connective tissue cells 21,136,0.26,36.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA),NA,1.93
astrocytes 15,338,0.188,76.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,78,0.278,85.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448,0.112,63.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,103,0.358,76.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.143,46.0,104,16,15.38,1.96 (1.31-2.61),88,84.62,3.04 (2.74-3.34),9.04,4.73
oligodendrocytes 0,2078,0.127,76.0,238,14,5.88,3.11 (2.37-3.85),224,94.12,3.67 (3.44-3.90),6.51,4.93
microglia 1,1615,0.113,55.0,161,29,18.01,1.68 (1.30-2.05),132,81.99,3.70 (3.43-3.98),9.05,4.64
oligodendrocytes 3,743,0.066,25.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,921,0.145,64.0,200,23,11.5,4.11 (3.34-4.88),177,88.5,3.56 (3.27-3.84),4.23,3.36
