tipo_celular,module_size,AP2B1_MM,AP2B1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.125,6.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,727,0.157,60.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,423,0.099,13.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,4285,0.106,13.0,353,22,6.23,1.95 (1.36-2.53),331,93.77,4.06 (3.88-4.24),27.45,6.78
GABA neurons expressing GLU receptors 22,487,0.244,62.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,380,0.175,52.0,39,2,5.13,1.90 (1.59-2.22),37,94.87,3.03 (2.45-3.61),2.40,2.58
da like neurons 11,853,0.118,40.0,133,10,7.52,2.18 (0.90-3.45),123,92.48,3.36 (3.04-3.67),5.83,4.03
GABA neurons expressing GABA receptors 13,265,0.215,75.0,78,15,19.23,3.68 (3.01-4.36),63,80.77,4.58 (4.09-5.07),3.67,4.41
endothelial cells 9,412,0.08,7.0,141,4,2.84,2.13 (1.19-3.08),137,97.16,2.99 (2.74-3.23),3.28,6.92
oligodendrocytes 20,938,0.26,91.0,169,14,8.28,2.80 (2.14-3.45),155,91.72,3.56 (3.33-3.79),4.90,5.41
GABA like neurons 14,2402,0.292,65.0,455,35,7.69,3.20 (2.63-3.76),420,92.31,4.48 (4.29-4.67),18.62,8.02
astrocytes 8,520,0.088,36.0,288,41,14.24,3.90 (3.39-4.42),247,85.76,4.23 (4.01-4.45),7.03,4.30
oligodendrocyte progenitor cells 12,3303,0.086,59.0,276,20,7.25,3.57 (2.78-4.35),256,92.75,3.54 (3.31-3.77),7.87,4.89
oligodendrocytes 10,735,0.062,23.0,277,3,1.08,4.67 (4.14-5.20),274,98.92,3.88 (3.64-4.13),1.60,9.03
connective tissue cells 21,145,0.284,45.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,367,0.165,65.0,17,3,17.65,5.03 (2.96-7.10),14,82.35,1.40 (0.72-2.08),1.58,3.66
oligodendrocytes 16,122,0.149,10.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06),NA,1.95
da neurons 6,409,0.234,84.0,235,2,0.85,4.03 (4.03-4.03),233,99.15,3.97 (3.72-4.23),1.74,4.44
astrocytes microglia 23,255,0.243,36.0,57,2,3.51,2.64 (2.45-2.83),55,96.49,2.65 (2.28-3.03),2.74,3.35
astrocytes 4,514,0.108,5.0,95,4,4.21,4.06 (1.80-6.32),91,95.79,3.33 (2.90-3.76),1.87,4.76
oligodendrocytes 0,613,0.089,4.0,127,3,2.36,3.37 (2.56-4.17),124,97.64,3.04 (2.61-3.47),4.71,6.32
microglia 1,958,0.092,21.0,290,4,1.38,1.90 (1.10-2.69),286,98.62,3.85 (3.62-4.08),5.39,4.99
oligodendrocytes 3,743,0.061,20.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,526,0.153,16.0,213,1,0.47,6.09 (NA-NA),212,99.53,3.97 (3.69-4.24),2.85,7.96
