tipo_celular,module_size,DHX30_MM,DHX30_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.08,4.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.077,8.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.125,33.0,353,39,11.05,2.19 (1.70-2.68),314,88.95,4.12 (3.94-4.31),20.43,6.53
GABA neurons expressing GLU receptors 22,487.0,0.269,69.0,73,6,8.22,3.07 (1.52-4.62),67,91.78,2.72 (2.33-3.12),2.60,7.75
GLU like neurons 17,1247.0,0.199,83.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,168.0,0.148,64.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,86.0,0.1,16.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72),NA,4.82
endothelial cells 9,916.0,0.084,9.0,302,7,2.32,3.47 (1.16-5.78),295,97.68,4.00 (3.77-4.22),13.20,10.59
oligodendrocytes 20,253.0,0.177,60.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2402.0,0.122,16.0,455,30,6.59,2.65 (1.94-3.37),425,93.41,4.50 (4.32-4.68),20.74,7.99
astrocytes 8,520.0,0.049,13.0,288,8,2.78,2.84 (2.02-3.65),280,97.22,4.22 (4.02-4.42),3.66,4.71
oligodendrocyte progenitor cells 12,1049.0,0.034,5.0,235,6,2.55,5.34 (3.99-6.70),229,97.45,3.78 (3.55-4.01),6.47,7.64
oligodendrocytes 10,806.0,0.109,30.0,261,4,1.53,3.19 (1.96-4.42),257,98.47,4.39 (4.14-4.63),4.23,6.09
connective tissue cells 21,84.0,0.261,41.0,1,0,0.0,NA,1,100.0,NA,NA,1.55
astrocytes 15,367.0,0.132,43.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,156.0,0.351,100.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,518.0,0.126,65.0,122,12,9.84,1.89 (1.03-2.75),110,90.16,4.30 (3.91-4.69),3.65,3.46
astrocytes microglia 23,101.0,0.322,51.0,6,0,0.0,NA,6,100.0,4.26 (2.94-5.59),NA,2.93
astrocytes 4,787.0,0.139,27.0,65,2,3.08,4.01 (1.74-6.28),63,96.92,2.92 (2.52-3.32),2.09,5.86
oligodendrocytes 0,2078.0,0.105,30.0,238,7,2.94,3.07 (1.55-4.59),231,97.06,3.65 (3.43-3.88),6.50,4.98
microglia 1,214.0,0.07,1.0,227,2,0.88,4.46 (3.69-5.22),225,99.12,4.09 (3.85-4.33),3.39,6.14
oligodendrocytes 3,1003.0,0.043,2.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.154,76.0,154,5,3.25,4.12 (2.58-5.66),149,96.75,3.21 (2.94-3.48),3.75,3.59
