tipo_celular,module_size,NEDD4L_MM,NEDD4L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218.0,0.193,38.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,156.0,0.174,70.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,714.0,0.257,83.0,17,8,47.06,2.54 (2.16-2.91),9,52.94,2.10 (1.03-3.17),2.24,4.74
GLU like neurons 17,489.0,0.187,75.0,42,17,40.48,6.30 (5.42-7.19),25,59.52,5.64 (5.02-6.25),3.09,3.30
da like neurons 11,209.0,0.427,93.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,288.0,0.093,6.0,93,41,44.09,4.84 (4.06-5.61),52,55.91,5.47 (4.86-6.07),5.40,2.81
endothelial cells 9,1653.0,0.156,71.0,297,13,4.38,4.06 (3.15-4.97),284,95.62,3.66 (3.46-3.87),9.10,5.35
oligodendrocytes 20,330.0,0.248,76.0,36,5,13.89,2.35 (1.46-3.24),31,86.11,1.85 (1.47-2.22),4.40,2.92
GABA like neurons 14,1300.0,0.251,70.0,306,81,26.47,4.47 (3.94-5.00),225,73.53,5.42 (5.14-5.70),9.08,5.85
astrocytes 8,140.0,0.318,94.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,2107.0,0.084,19.0,358,61,17.04,2.49 (2.13-2.85),297,82.96,4.21 (4.01-4.41),23.16,6.66
connective tissue cells 21,103.0,0.25,32.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72),NA,1.57
astrocytes 15,1768.0,0.127,82.0,105,32,30.48,2.60 (2.20-2.99),73,69.52,3.51 (3.07-3.96),6.49,2.88
oligodendrocytes 16,199.0,0.13,16.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,553.0,0.118,43.0,124,14,11.29,3.60 (2.61-4.60),110,88.71,4.25 (3.83-4.67),2.91,3.05
astrocytes microglia 23,49.0,0.236,15.0,1,0,0.0,NA,1,100.0,6.09 (NA-NA),NA,1.31
astrocytes 4,255.0,0.206,69.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,309.0,0.215,89.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,958.0,0.136,81.0,290,23,7.93,2.97 (2.30-3.65),267,92.07,3.90 (3.66-4.14),5.86,4.93
oligodendrocytes 3,639.0,0.199,93.0,15,7,46.67,1.49 (0.55-2.43),8,53.33,5.44 (4.03-6.86),2.49,1.98
oligodendrocytes 2,348.0,0.383,92.0,114,39,34.21,5.22 (4.51-5.93),75,65.79,5.05 (4.55-5.55),6.74,3.17
