tipo_celular,module_size,OGT_MM,OGT_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.146,41.0,71,12,16.9,2.81 (1.75-3.88),59,83.1,2.57 (2.13-3.02),3.05,3.68
T cells 18,393,0.098,10.0,59,2,3.39,3.21 (2.29-4.12),57,96.61,3.10 (2.58-3.62),1.93,5.46
astrocytes 5,1141,0.116,29.0,166,64,38.55,2.87 (2.54-3.19),102,61.45,3.82 (3.47-4.17),5.85,3.73
oligodendrocyte progenitor cells 7,4285,0.173,95.0,353,94,26.63,2.92 (2.61-3.22),259,73.37,4.40 (4.21-4.60),16.90,4.86
GABA neurons expressing GLU receptors 22,703,0.155,31.0,23,3,13.04,2.29 (1.14-3.45),20,86.96,2.06 (1.25-2.87),2.93,4.08
GLU like neurons 17,1316,0.145,68.0,101,5,4.95,4.31 (2.88-5.73),96,95.05,2.97 (2.61-3.32),4.66,2.97
da like neurons 11,209,0.055,0.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,70,0.17,45.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89),NA,5.49
endothelial cells 9,1653,0.152,69.0,297,13,4.38,4.26 (3.48-5.04),284,95.62,3.64 (3.43-3.85),6.57,5.47
oligodendrocytes 20,295,0.226,65.0,28,8,28.57,2.86 (2.16-3.55),20,71.43,1.89 (1.35-2.44),1.98,3.51
GABA like neurons 14,3052,0.218,96.0,125,4,3.2,3.57 (3.02-4.13),121,96.8,3.34 (3.01-3.68),5.02,8.73
astrocytes 8,727,0.066,22.0,29,3,10.34,3.76 (3.19-4.34),26,89.66,2.18 (1.67-2.69),1.83,3.75
oligodendrocyte progenitor cells 12,3303,0.074,44.0,276,75,27.17,2.78 (2.50-3.07),201,72.83,3.96 (3.69-4.24),9.18,3.59
oligodendrocytes 10,2107,0.203,70.0,358,107,29.89,2.88 (2.59-3.17),251,70.11,4.52 (4.31-4.72),19.56,5.17
connective tissue cells 21,100,0.248,29.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,443,0.156,54.0,9,6,66.67,3.73 (2.40-5.05),3,33.33,1.89 (-1.31-5.09),2.16,2.35
oligodendrocytes 16,86,0.11,6.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518,0.089,26.0,122,19,15.57,2.35 (1.70-3.01),103,84.43,4.41 (3.99-4.82),3.55,3.47
astrocytes microglia 23,86,0.268,23.0,1,1,100.0,1.71 (NA-NA),0,0.0,NA,1.66,NA
astrocytes 4,721,0.194,99.0,61,6,9.84,4.39 (3.56-5.22),55,90.16,2.80 (2.37-3.23),3.46,6.30
oligodendrocytes 0,1186,0.161,76.0,300,37,12.33,4.29 (3.81-4.77),263,87.67,3.71 (3.49-3.94),3.94,4.19
microglia 1,958,0.144,87.0,290,30,10.34,3.42 (2.87-3.96),260,89.66,3.87 (3.62-4.12),4.75,5.03
oligodendrocytes 3,1003,0.085,38.0,111,3,2.7,5.13 (2.38-7.89),108,97.3,3.25 (2.91-3.59),1.78,4.30
oligodendrocytes 2,921,0.184,96.0,200,14,7.0,4.92 (3.80-6.05),186,93.0,3.51 (3.24-3.77),4.02,3.42
