tipo_celular,module_size,SUN2_MM,SUN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.412,89.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,393,0.158,53.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,165,0.147,33.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01),NA,2.95
oligodendrocyte progenitor cells 7,229,0.303,86.0,45,5,11.11,4.95 (4.77-5.12),40,88.89,5.01 (4.29-5.73),3.03,5.65
GABA neurons expressing GLU receptors 22,567,0.472,96.0,16,5,31.25,2.47 (2.02-2.92),11,68.75,1.77 (0.87-2.68),1.51,4.60
GLU like neurons 17,637,0.176,57.0,91,17,18.68,1.90 (1.01-2.79),74,81.32,5.23 (4.77-5.70),3.33,3.00
da like neurons 11,408,0.249,66.0,25,7,28.0,1.20 (0.74-1.66),18,72.0,6.45 (5.43-7.48),2.24,2.29
GABA neurons expressing GABA receptors 13,288,0.118,19.0,93,9,9.68,3.00 (1.58-4.42),84,90.32,5.42 (4.93-5.91),2.60,4.09
endothelial cells 9,450,0.25,61.0,74,6,8.11,4.08 (2.89-5.27),68,91.89,5.62 (5.04-6.21),2.73,3.72
oligodendrocytes 20,676,0.273,50.0,110,17,15.45,3.56 (2.60-4.53),93,84.55,5.36 (4.90-5.83),3.56,3.52
GABA like neurons 14,2402,0.189,38.0,455,24,5.27,2.18 (1.57-2.79),431,94.73,4.50 (4.31-4.68),22.31,8.08
astrocytes 8,771,0.309,82.0,48,2,4.17,3.09 (-1.42-7.60),46,95.83,4.50 (3.74-5.27),1.73,3.20
oligodendrocyte progenitor cells 12,708,0.304,87.0,25,3,12.0,1.22 (-0.77-3.20),22,88.0,3.04 (2.01-4.08),1.74,2.65
oligodendrocytes 10,236,0.599,78.0,82,11,13.41,5.71 (4.94-6.49),71,86.59,4.85 (4.24-5.45),2.81,3.99
connective tissue cells 21,250,0.322,57.0,117,8,6.84,3.87 (2.48-5.26),109,93.16,5.53 (5.13-5.93),2.95,3.80
astrocytes 15,458,0.147,73.0,36,1,2.78,NA,35,97.22,3.77 (2.68-4.85),1.97,2.59
oligodendrocytes 16,153,0.491,94.0,14,1,7.14,5.15 (NA-NA),13,92.86,4.63 (3.84-5.42),1.37,3.01
da neurons 6,398,0.218,72.0,138,19,13.77,3.02 (2.11-3.93),119,86.23,5.15 (4.78-5.52),2.98,2.70
astrocytes microglia 23,28,0.289,26.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.18,92.0,61,2,3.28,1.74 (1.73-1.75),59,96.72,3.01 (2.59-3.43),3.06,6.12
oligodendrocytes 0,546,0.22,72.0,252,13,5.16,1.30 (0.70-1.91),239,94.84,4.30 (4.06-4.53),11.64,8.02
microglia 1,127,0.195,55.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87),NA,2.47
oligodendrocytes 3,127,0.404,85.0,45,3,6.67,1.55 (0.78-2.31),42,93.33,4.68 (3.83-5.53),2.18,6.19
oligodendrocytes 2,528,0.27,78.0,175,6,3.43,1.86 (1.56-2.16),169,96.57,4.49 (4.14-4.84),4.56,4.62
