tipo_celular,module_size,SRP14_MM,SRP14_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.178,54.0,140,11,7.86,2.61 (1.95-3.26),129,92.14,4.60 (4.17-5.03),4.24,3.51
T cells 18,282,0.211,69.0,241,2,0.83,4.66 (3.61-5.70),239,99.17,4.05 (3.79-4.30),3.47,4.35
astrocytes 5,228,0.274,84.0,266,30,11.28,2.55 (1.96-3.13),236,88.72,4.32 (4.11-4.53),7.38,4.67
oligodendrocyte progenitor cells 7,628,0.332,93.0,164,13,7.93,5.37 (4.43-6.31),151,92.07,3.95 (3.62-4.29),3.43,7.88
GABA neurons expressing GLU receptors 22,848,0.41,93.0,262,21,8.02,3.12 (2.31-3.93),241,91.98,4.24 (3.99-4.50),6.46,3.90
GLU like neurons 17,380,0.179,55.0,39,3,7.69,3.40 (2.09-4.71),36,92.31,2.93 (2.33-3.52),2.37,2.59
da like neurons 11,1220,0.556,99.0,410,32,7.8,4.11 (3.34-4.89),378,92.2,4.26 (4.07-4.45),11.25,7.20
GABA neurons expressing GABA receptors 13,417,0.236,85.0,213,19,8.92,1.56 (0.98-2.14),194,91.08,4.01 (3.78-4.24),9.18,9.73
endothelial cells 9,916,0.468,90.0,302,13,4.3,4.45 (2.37-6.52),289,95.7,3.97 (3.74-4.19),5.58,10.88
oligodendrocytes 20,938,0.154,64.0,169,18,10.65,2.75 (2.04-3.46),151,89.35,3.55 (3.32-3.78),4.98,5.41
GABA like neurons 14,2402,0.749,100.0,455,41,9.01,2.80 (2.14-3.46),414,90.99,4.51 (4.32-4.69),20.25,7.70
astrocytes 8,520,0.334,90.0,288,27,9.38,3.68 (2.92-4.43),261,90.62,4.22 (4.02-4.43),9.88,4.15
oligodendrocyte progenitor cells 12,1049,0.194,83.0,235,15,6.38,4.97 (3.84-6.11),220,93.62,3.75 (3.52-3.98),5.65,7.75
oligodendrocytes 10,806,0.401,90.0,261,14,5.36,4.13 (3.00-5.26),247,94.64,4.38 (4.13-4.63),5.90,6.07
connective tissue cells 21,301,0.453,71.0,158,14,8.86,1.90 (1.19-2.61),144,91.14,4.45 (4.08-4.81),11.33,6.65
astrocytes 15,208,0.023,5.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,313,0.283,71.0,291,29,9.97,4.04 (3.21-4.87),262,90.03,4.35 (4.12-4.59),5.00,3.68
da neurons 6,729,0.331,98.0,182,2,1.1,2.00 (1.13-2.86),180,98.9,3.66 (3.40-3.91),25.17,8.34
astrocytes microglia 23,161,0.259,21.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41),NA,2.66
astrocytes 4,208,0.267,76.0,173,6,3.47,NA,167,96.53,3.80 (3.50-4.10),2.54,5.73
oligodendrocytes 0,546,0.289,88.0,252,32,12.7,2.29 (1.63-2.96),220,87.3,4.36 (4.12-4.61),11.08,7.79
microglia 1,214,0.305,80.0,227,11,4.85,4.36 (3.42-5.30),216,95.15,4.08 (3.84-4.33),7.45,6.05
oligodendrocytes 3,457,0.274,91.0,345,29,8.41,4.12 (3.48-4.77),316,91.59,4.29 (4.07-4.51),10.10,5.29
oligodendrocytes 2,526,0.426,86.0,213,1,0.47,7.18 (NA-NA),212,99.53,3.96 (3.69-4.23),2.68,7.96
