tipo_celular,module_size,ZDHHC17_MM,ZDHHC17_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249,0.155,53.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69),NA,2.88
T cells 18,610,0.153,52.0,98,20,20.41,1.77 (1.20-2.34),78,79.59,3.52 (3.20-3.83),5.77,3.59
astrocytes 5,1141,0.153,79.0,166,12,7.23,1.85 (1.13-2.56),154,92.77,3.54 (3.28-3.79),5.69,4.46
oligodendrocyte progenitor cells 7,4285,0.134,49.0,353,36,10.2,2.14 (1.71-2.56),317,89.8,4.16 (3.97-4.34),22.48,6.43
GABA neurons expressing GLU receptors 22,848,0.13,15.0,262,32,12.21,4.25 (3.38-5.12),230,87.79,4.14 (3.90-4.39),6.38,3.79
GLU like neurons 17,1316,0.082,14.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42),3.30,3.05
da like neurons 11,265,0.243,71.0,4,1,25.0,2.68 (NA-NA),3,75.0,1.50 (-0.93-3.93),1.55,1.82
GABA neurons expressing GABA receptors 13,90,0.078,2.0,4,1,25.0,2.24 (NA-NA),3,75.0,6.38 (3.80-8.96),2.06,1.77
endothelial cells 9,1653,0.13,53.0,297,2,0.67,3.04 (2.03-4.05),295,99.33,3.68 (3.47-3.88),6.18,5.51
oligodendrocytes 20,322,0.126,51.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052,0.2,92.0,125,3,2.4,3.37 (3.00-3.73),122,97.6,3.35 (3.02-3.68),4.53,8.71
astrocytes 8,260,0.222,89.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,708,0.058,17.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,1277,0.029,3.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,106,0.313,68.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06),NA,1.87
astrocytes 15,443,0.113,21.0,9,2,22.22,2.04 (-0.10-4.18),7,77.78,3.68 (2.17-5.18),3.04,1.99
oligodendrocytes 16,85,0.173,28.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518,0.098,36.0,122,42,34.43,3.53 (2.76-4.31),80,65.57,4.29 (3.90-4.68),4.07,3.17
astrocytes microglia 23,96,0.308,43.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03),NA,5.42
astrocytes 4,752,0.168,71.0,96,2,2.08,4.78 (3.49-6.08),94,97.92,3.25 (2.92-3.58),1.60,4.38
oligodendrocytes 0,1186,0.156,68.0,300,7,2.33,3.29 (2.72-3.86),293,97.67,3.81 (3.60-4.02),3.94,4.16
microglia 1,1615,0.11,51.0,161,23,14.29,1.69 (1.19-2.19),138,85.71,3.61 (3.34-3.88),10.51,4.59
oligodendrocytes 3,1003,0.09,44.0,111,2,1.8,3.56 (NA-NA),109,98.2,3.30 (2.95-3.65),2.95,4.25
oligodendrocytes 2,921,0.148,69.0,200,8,4.0,2.65 (1.86-3.44),192,96.0,3.67 (3.40-3.95),4.06,3.44
