tipo_celular,module_size,SEL1L_MM,SEL1L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.29,94.0,97,8,8.25,4.56 (3.45-5.68),89,91.75,2.89 (2.49-3.29),4.50,4.94
T cells 18,518,0.13,31.0,131,2,1.53,4.69 (2.36-7.03),129,98.47,3.05 (2.77-3.32),1.71,4.80
astrocytes 5,1656,0.15,94.0,136,7,5.15,3.47 (2.97-3.97),129,94.85,3.19 (2.91-3.48),3.79,5.05
oligodendrocyte progenitor cells 7,4285,0.155,79.0,353,40,11.33,2.47 (2.01-2.92),313,88.67,4.13 (3.95-4.32),23.60,6.08
GABA neurons expressing GLU receptors 22,567,0.092,7.0,16,3,18.75,2.54 (1.95-3.14),13,81.25,1.82 (0.99-2.64),1.53,4.12
GLU like neurons 17,380,0.15,35.0,39,12,30.77,3.11 (2.60-3.62),27,69.23,2.89 (2.10-3.69),2.31,2.68
da like neurons 11,1220,0.129,28.0,410,32,7.8,3.36 (2.89-3.83),378,92.2,4.36 (4.16-4.55),9.98,7.31
GABA neurons expressing GABA receptors 13,77,0.115,16.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.97
endothelial cells 9,1653,0.069,7.0,297,1,0.34,4.44 (NA-NA),296,99.66,3.67 (3.47-3.87),8.49,5.51
oligodendrocytes 20,279,0.099,12.0,16,1,6.25,3.48 (NA-NA),15,93.75,2.30 (1.52-3.09),1.81,3.59
GABA like neurons 14,3052,0.167,73.0,125,2,1.6,3.81 (2.57-5.04),123,98.4,3.34 (3.01-3.67),6.45,8.65
astrocytes 8,218,0.051,26.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,3303,0.046,11.0,276,30,10.87,2.80 (2.35-3.26),246,89.13,3.66 (3.43-3.90),11.35,4.35
oligodendrocytes 10,806,0.041,4.0,261,12,4.6,2.74 (2.19-3.28),249,95.4,4.47 (4.22-4.72),7.29,6.01
connective tissue cells 21,111,0.283,50.0,26,4,15.38,3.10 (2.16-4.05),22,84.62,2.38 (1.59-3.17),2.10,2.18
astrocytes 15,1401,0.091,55.0,96,2,2.08,2.86 (1.17-4.54),94,97.92,3.63 (3.17-4.09),3.60,3.80
oligodendrocytes 16,71,0.189,59.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.45
da neurons 6,518,0.156,83.0,122,40,32.79,3.02 (2.54-3.51),82,67.21,4.72 (4.21-5.22),5.35,2.57
astrocytes microglia 23,131,0.224,7.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.177,91.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,613,0.155,61.0,127,11,8.66,2.95 (2.39-3.51),116,91.34,3.07 (2.60-3.54),3.75,6.52
microglia 1,813,0.203,93.0,79,9,11.39,3.92 (2.92-4.92),70,88.61,2.98 (2.55-3.42),3.26,8.50
oligodendrocytes 3,743,0.107,77.0,76,6,7.89,4.12 (3.42-4.81),70,92.11,3.07 (2.65-3.49),5.63,7.43
oligodendrocytes 2,528,0.181,37.0,175,12,6.86,3.92 (3.02-4.83),163,93.14,4.43 (4.06-4.81),6.52,4.48
