tipo_celular,module_size,SYNRG_MM,SYNRG_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.1,10.0,32,2,6.25,3.72 (0.81-6.64),30,93.75,3.72 (2.90-4.55),2.31,3.70
T cells 18,727,0.084,7.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,932,0.084,13.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285,0.139,56.0,353,25,7.08,2.16 (1.60-2.72),328,92.92,4.06 (3.88-4.25),25.32,6.75
GABA neurons expressing GLU receptors 22,1069,0.095,8.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1247,0.065,7.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,853,0.209,85.0,133,8,6.02,1.38 (0.44-2.32),125,93.98,3.40 (3.08-3.71),5.54,4.07
GABA neurons expressing GABA receptors 13,265,0.095,8.0,78,14,17.95,3.61 (2.96-4.27),64,82.05,4.59 (4.10-5.07),4.03,4.32
endothelial cells 9,1653,0.093,21.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,348,0.037,10.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,3052,0.106,22.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266,0.046,11.0,66,7,10.61,0.72 (0.26-1.17),59,89.39,3.58 (3.19-3.96),3.84,2.85
oligodendrocyte progenitor cells 12,3303,0.087,61.0,276,17,6.16,2.99 (2.35-3.62),259,93.84,3.59 (3.36-3.82),9.54,4.82
oligodendrocytes 10,2107,0.055,7.0,358,21,5.87,2.15 (1.49-2.81),337,94.13,4.01 (3.82-4.20),22.54,8.66
connective tissue cells 21,101,0.262,42.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.40
astrocytes 15,1401,0.031,4.0,96,2,2.08,2.86 (1.17-4.54),94,97.92,3.63 (3.17-4.09),3.60,3.80
oligodendrocytes 16,74,0.154,22.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA),NA,1.76
da neurons 6,518,0.11,51.0,122,28,22.95,2.39 (1.94-2.85),94,77.05,4.67 (4.24-5.11),4.84,3.08
astrocytes microglia 23,96,0.221,2.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,4.29
astrocytes 4,721,0.138,24.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,1186,0.12,16.0,300,1,0.33,2.06 (NA-NA),299,99.67,3.80 (3.59-4.01),1.54,4.16
microglia 1,1615,0.107,47.0,161,13,8.07,1.18 (0.58-1.78),148,91.93,3.50 (3.24-3.76),12.32,4.83
oligodendrocytes 3,681,0.055,12.0,87,5,5.75,0.87 (0.33-1.41),82,94.25,2.70 (2.43-2.97),5.45,4.17
oligodendrocytes 2,921,0.1,6.0,200,9,4.5,3.09 (2.46-3.72),191,95.5,3.65 (3.37-3.93),5.35,3.37
