tipo_celular,module_size,UBE2N_MM,UBE2N_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.252,88.0,97,2,2.06,2.40 (2.14-2.65),95,97.94,3.07 (2.67-3.47),4.44,4.91
T cells 18,282,0.137,20.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,1656,0.131,75.0,136,10,7.35,1.82 (1.30-2.34),126,92.65,3.31 (3.03-3.59),5.83,4.92
oligodendrocyte progenitor cells 7,4285,0.147,68.0,353,90,25.5,2.60 (2.33-2.87),263,74.5,4.46 (4.27-4.65),18.43,4.52
GABA neurons expressing GLU receptors 22,848,0.264,68.0,262,37,14.12,3.47 (2.91-4.04),225,85.88,4.27 (4.01-4.54),7.30,3.58
GLU like neurons 17,489,0.115,34.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64),2.25,3.24
da like neurons 11,1220,0.157,41.0,410,34,8.29,3.52 (3.03-4.01),376,91.71,4.31 (4.12-4.51),13.00,7.02
GABA neurons expressing GABA receptors 13,417,0.043,0.0,213,42,19.72,2.54 (1.98-3.09),171,80.28,4.08 (3.83-4.33),7.36,10.26
endothelial cells 9,338,0.105,34.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,938,0.158,66.0,169,30,17.75,3.62 (2.99-4.24),139,82.25,3.46 (3.22-3.69),6.14,5.20
GABA like neurons 14,2402,0.362,75.0,455,56,12.31,2.76 (2.30-3.21),399,87.69,4.61 (4.43-4.80),17.41,7.63
astrocytes 8,520,0.128,56.0,288,26,9.03,3.20 (2.68-3.71),262,90.97,4.26 (4.05-4.47),8.54,4.30
oligodendrocyte progenitor cells 12,3303,0.026,1.0,276,77,27.9,2.58 (2.32-2.83),199,72.1,4.01 (3.75-4.28),9.29,3.49
oligodendrocytes 10,735,0.191,86.0,277,4,1.44,5.47 (4.75-6.19),273,98.56,3.87 (3.63-4.11),2.33,9.04
connective tissue cells 21,142,0.281,29.0,55,10,18.18,1.97 (1.07-2.87),45,81.82,4.22 (3.18-5.27),2.74,3.41
astrocytes 15,367,0.208,86.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,122,0.192,40.0,11,1,9.09,2.90 (NA-NA),10,90.91,3.67 (3.14-4.19),2.00,1.94
da neurons 6,553,0.073,6.0,124,15,12.1,3.56 (2.44-4.68),109,87.9,4.24 (3.83-4.66),2.75,3.07
astrocytes microglia 23,70,0.284,25.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.53
astrocytes 4,1807,0.161,80.0,104,42,40.38,2.14 (1.83-2.45),62,59.62,3.38 (3.00-3.75),8.43,3.34
oligodendrocytes 0,2078,0.108,37.0,238,33,13.87,3.01 (2.61-3.41),205,86.13,3.73 (3.49-3.98),6.23,4.83
microglia 1,958,0.111,49.0,290,32,11.03,3.22 (2.61-3.84),258,88.97,3.88 (3.64-4.12),4.74,5.03
oligodendrocytes 3,457,0.064,17.0,345,32,9.28,4.39 (4.06-4.71),313,90.72,4.26 (4.03-4.49),9.97,5.25
oligodendrocytes 2,1630,0.131,28.0,154,6,3.9,3.23 (2.85-3.60),148,96.1,3.25 (2.97-3.52),2.66,3.63
