tipo_celular,module_size,FLOT1_MM,FLOT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211,0.039,0.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,282,0.08,10.0,241,9,3.73,4.04 (3.45-4.63),232,96.27,4.06 (3.79-4.32),2.77,4.40
astrocytes 5,1656,0.122,61.0,136,5,3.68,1.81 (1.23-2.40),131,96.32,3.27 (2.99-3.55),6.80,4.92
oligodendrocyte progenitor cells 7,4285,0.124,32.0,353,59,16.71,2.50 (2.07-2.93),294,83.29,4.25 (4.07-4.43),16.41,6.39
GABA neurons expressing GLU receptors 22,400,0.203,53.0,24,15,62.5,1.72 (1.07-2.37),9,37.5,2.88 (2.27-3.48),3.99,2.90
GLU like neurons 17,380,0.166,45.0,39,2,5.13,1.90 (1.59-2.22),37,94.87,3.03 (2.45-3.61),2.40,2.58
da like neurons 11,1220,0.1,15.0,410,47,11.46,3.46 (3.07-3.85),363,88.54,4.37 (4.16-4.57),11.90,6.95
GABA neurons expressing GABA receptors 13,417,0.116,16.0,213,39,18.31,2.46 (1.89-3.04),174,81.69,4.09 (3.84-4.33),7.23,10.24
endothelial cells 9,559,0.151,47.0,155,8,5.16,4.74 (3.52-5.95),147,94.84,4.31 (3.93-4.69),2.55,4.43
oligodendrocytes 20,676,0.03,8.0,110,30,27.27,4.00 (3.30-4.69),80,72.73,5.49 (4.96-6.02),3.28,3.62
GABA like neurons 14,2402,0.27,60.0,455,58,12.75,2.94 (2.50-3.39),397,87.25,4.60 (4.41-4.79),17.21,7.61
astrocytes 8,603,0.107,69.0,89,9,10.11,2.26 (1.06-3.46),80,89.89,2.84 (2.48-3.20),4.08,6.26
oligodendrocyte progenitor cells 12,1049,0.131,68.0,235,20,8.51,4.11 (3.54-4.67),215,91.49,3.80 (3.55-4.04),7.04,7.67
oligodendrocytes 10,735,0.07,29.0,277,4,1.44,5.26 (4.82-5.70),273,98.56,3.87 (3.62-4.11),3.47,9.03
connective tissue cells 21,118,0.251,22.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA),NA,3.19
astrocytes 15,1401,0.134,84.0,96,16,16.67,3.37 (2.48-4.26),80,83.33,3.67 (3.15-4.18),4.63,3.63
oligodendrocytes 16,121,0.317,95.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,729,0.096,21.0,182,9,4.95,1.87 (1.36-2.38),173,95.05,3.72 (3.47-3.98),5.22,8.69
astrocytes microglia 23,157,0.278,33.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.094,1.0,104,21,20.19,1.79 (1.34-2.23),83,79.81,3.16 (2.86-3.47),9.30,4.41
oligodendrocytes 0,546,0.071,2.0,252,43,17.06,2.63 (2.09-3.17),209,82.94,4.43 (4.18-4.69),13.26,7.17
microglia 1,480,0.143,26.0,163,38,23.31,4.31 (3.90-4.73),125,76.69,3.51 (3.20-3.83),3.35,5.72
oligodendrocytes 3,303,0.094,27.0,154,2,1.3,4.70 (NA-NA),152,98.7,3.61 (3.29-3.93),20.77,11.72
oligodendrocytes 2,526,0.152,15.0,213,1,0.47,3.96 (NA-NA),212,99.53,3.98 (3.70-4.25),3.27,7.96
