tipo_celular,module_size,AGPAT3_MM,AGPAT3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.297,89.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,727,0.199,87.0,49,2,4.08,3.04 (2.03-4.05),47,95.92,2.40 (1.99-2.81),5.67,6.26
astrocytes 5,932,0.093,26.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10),1.96,4.36
oligodendrocyte progenitor cells 7,4285,0.168,93.0,353,29,8.22,2.48 (1.78-3.18),324,91.78,4.06 (3.88-4.24),23.60,6.67
GABA neurons expressing GLU receptors 22,823,0.219,75.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,489,0.075,9.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64),2.25,3.24
da like neurons 11,853,0.123,44.0,133,9,6.77,0.70 (0.45-0.95),124,93.23,3.48 (3.17-3.78),6.62,3.98
GABA neurons expressing GABA receptors 13,238,0.13,28.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,1653,0.099,26.0,297,3,1.01,3.42 (2.48-4.36),294,98.99,3.68 (3.47-3.88),5.43,5.52
oligodendrocytes 20,298,0.188,67.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,2090,0.217,86.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,218,0.041,12.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,708,0.128,58.0,32,8,25.0,1.28 (0.39-2.18),24,75.0,4.03 (3.17-4.89),3.67,2.24
oligodendrocytes 10,2107,0.07,13.0,358,19,5.31,1.69 (0.98-2.40),339,94.69,4.03 (3.84-4.21),30.51,8.29
connective tissue cells 21,125,0.26,32.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,367,0.163,65.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,105,0.18,28.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,553,0.106,33.0,124,5,4.03,2.43 (1.32-3.55),119,95.97,4.29 (3.89-4.69),2.50,3.05
astrocytes microglia 23,132,0.259,22.0,1,0,0.0,NA,1,100.0,NA,NA,2.03
astrocytes 4,721,0.176,89.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,2078,0.113,48.0,238,5,2.1,2.46 (1.29-3.62),233,97.9,3.67 (3.44-3.89),7.09,4.98
microglia 1,958,0.099,31.0,290,2,0.69,3.48 (3.47-3.49),288,99.31,3.82 (3.59-4.05),3.01,5.01
oligodendrocytes 3,1003,0.05,6.0,111,1,0.9,3.56 (NA-NA),110,99.1,3.30 (2.95-3.65),4.34,4.23
oligodendrocytes 2,921,0.103,7.0,200,4,2.0,2.37 (1.13-3.60),196,98.0,3.65 (3.38-3.92),3.25,3.47
