tipo_celular,module_size,CAMTA1_MM,CAMTA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211,0.246,85.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08),NA,4.16
T cells 18,610,0.128,32.0,98,27,27.55,1.79 (1.32-2.26),71,72.45,3.71 (3.40-4.01),7.28,2.80
astrocytes 5,222,0.172,34.0,98,3,3.06,2.40 (0.37-4.43),95,96.94,4.68 (4.28-5.09),2.36,2.66
oligodendrocyte progenitor cells 7,666,0.167,50.0,127,14,11.02,2.32 (1.80-2.84),113,88.98,4.13 (3.77-4.48),4.34,6.02
GABA neurons expressing GLU receptors 22,459,0.054,4.0,165,8,4.85,2.12 (1.36-2.88),157,95.15,5.29 (4.96-5.62),3.28,4.13
GLU like neurons 17,795,0.208,79.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,200,0.224,64.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,238,0.255,85.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,1653,0.145,64.0,297,1,0.34,5.16 (NA-NA),296,99.66,3.67 (3.46-3.87),14.70,5.49
oligodendrocytes 20,676,0.661,94.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66),4.02,3.50
GABA like neurons 14,2090,0.307,99.0,74,16,21.62,2.50 (2.06-2.93),58,78.38,3.09 (2.61-3.56),3.31,12.48
astrocytes 8,279,0.178,14.0,78,12,15.38,2.54 (2.11-2.97),66,84.62,4.66 (4.23-5.10),2.81,2.69
oligodendrocyte progenitor cells 12,254,0.224,34.0,37,6,16.22,2.96 (2.49-3.43),31,83.78,4.86 (4.23-5.50),2.70,2.43
oligodendrocytes 10,236,0.481,48.0,82,4,4.88,3.24 (2.72-3.75),78,95.12,5.11 (4.57-5.65),2.52,3.90
connective tissue cells 21,250,0.198,16.0,117,0,0.0,NA,117,100.0,5.37 (4.97-5.77),NA,3.74
astrocytes 15,418,0.294,71.0,54,3,5.56,3.53 (3.35-3.70),51,94.44,3.69 (3.23-4.16),1.87,3.08
oligodendrocytes 16,153,0.312,36.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40),NA,2.89
da neurons 6,448,0.283,100.0,43,1,2.33,3.78 (NA-NA),42,97.67,3.27 (2.73-3.80),1.34,3.52
astrocytes microglia 23,122,0.346,72.0,46,0,0.0,NA,46,100.0,5.03 (4.47-5.59),NA,3.21
astrocytes 4,201,0.172,51.0,18,7,38.89,3.50 (3.01-3.98),11,61.11,5.16 (3.91-6.41),2.99,3.16
oligodendrocytes 0,261,0.188,53.0,42,8,19.05,1.36 (1.04-1.68),34,80.95,4.96 (4.41-5.52),2.01,2.34
microglia 1,958,0.113,53.0,290,8,2.76,1.52 (1.11-1.93),282,97.24,3.90 (3.67-4.13),5.76,4.98
oligodendrocytes 3,116,0.264,42.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96),1.62,1.41
oligodendrocytes 2,407,0.166,61.0,122,45,36.89,1.92 (1.61-2.23),77,63.11,4.58 (4.12-5.03),3.39,2.30
