tipo_celular,module_size,ERI3_MM,ERI3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184,0.221,58.0,21,0,0.0,NA,21,100.0,2.30 (1.67-2.93),NA,2.00
T cells 18,349,0.129,28.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93),NA,3.31
astrocytes 5,932,0.092,23.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285,0.123,31.0,353,23,6.52,2.06 (1.52-2.61),330,93.48,4.06 (3.87-4.24),17.73,7.39
GABA neurons expressing GLU receptors 22,703,0.162,35.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82),1.75,4.03
GLU like neurons 17,380,0.07,3.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,200,0.185,50.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,417,0.126,23.0,213,10,4.69,2.21 (1.02-3.41),203,95.31,3.85 (3.61-4.09),4.96,9.92
endothelial cells 9,450,0.117,18.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,233,0.163,34.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,2402,0.126,17.0,455,15,3.3,2.74 (1.65-3.83),440,96.7,4.42 (4.23-4.60),12.59,8.71
astrocytes 8,1266,0.104,69.0,66,2,3.03,0.97 (-0.53-2.46),64,96.97,3.31 (2.89-3.73),4.56,2.90
oligodendrocyte progenitor cells 12,3303,0.055,21.0,276,19,6.88,1.90 (1.41-2.39),257,93.12,3.70 (3.48-3.93),8.64,4.85
oligodendrocytes 10,2107,0.06,9.0,358,24,6.7,1.97 (1.43-2.50),334,93.3,4.03 (3.84-4.22),20.09,8.71
connective tissue cells 21,111,0.261,40.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,1768,0.076,39.0,105,14,13.33,1.49 (1.04-1.93),91,86.67,3.50 (3.16-3.85),5.58,3.73
oligodendrocytes 16,158,0.174,34.0,30,0,0.0,NA,30,100.0,2.33 (1.68-2.98),NA,12.02
da neurons 6,729,0.065,5.0,182,10,5.49,3.48 (2.11-4.85),172,94.51,3.65 (3.39-3.90),7.29,8.59
astrocytes microglia 23,229,0.157,4.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63),NA,3.24
astrocytes 4,251,0.144,35.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86),NA,3.07
oligodendrocytes 0,1186,0.15,60.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,1615,0.102,38.0,161,19,11.8,1.39 (1.09-1.70),142,88.2,3.53 (3.26-3.80),6.19,5.33
oligodendrocytes 3,681,0.128,76.0,87,12,13.79,1.40 (1.10-1.70),75,86.21,2.79 (2.50-3.08),4.22,4.24
oligodendrocytes 2,407,0.123,16.0,122,12,9.84,1.45 (1.17-1.74),110,90.16,3.60 (3.19-4.01),2.50,2.72
