tipo_celular,module_size,METAP2_MM,METAP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.213,49.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,610,0.081,6.0,98,13,13.27,1.86 (1.19-2.53),85,86.73,3.34 (3.01-3.67),5.15,3.87
astrocytes 5,328,0.12,26.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,628,0.131,25.0,164,1,0.61,1.29 (NA-NA),163,99.39,4.11 (3.78-4.43),5.50,7.54
GABA neurons expressing GLU receptors 22,487,0.122,14.0,73,4,5.48,1.44 (1.34-1.53),69,94.52,2.84 (2.44-3.24),2.50,7.61
GLU like neurons 17,685,0.073,12.0,135,13,9.63,1.53 (1.09-1.97),122,90.37,3.40 (3.09-3.72),5.28,3.59
da like neurons 11,1220,0.085,9.0,410,5,1.22,2.84 (1.38-4.29),405,98.78,4.27 (4.08-4.46),13.08,7.45
GABA neurons expressing GABA receptors 13,417,0.086,3.0,213,11,5.16,1.46 (0.80-2.11),202,94.84,3.92 (3.68-4.16),6.30,9.87
endothelial cells 9,916,0.173,39.0,302,3,0.99,1.67 (-0.24-3.57),299,99.01,4.01 (3.79-4.24),3.64,10.72
oligodendrocytes 20,938,0.175,72.0,169,5,2.96,1.51 (0.36-2.65),164,97.04,3.55 (3.34-3.77),5.63,5.36
GABA like neurons 14,2402,0.318,69.0,455,14,3.08,1.69 (1.00-2.38),441,96.92,4.46 (4.28-4.64),20.91,8.45
astrocytes 8,603,0.11,70.0,89,8,8.99,1.22 (1.03-1.40),81,91.01,2.98 (2.61-3.34),5.55,6.09
oligodendrocyte progenitor cells 12,1049,0.133,69.0,235,2,0.85,3.12 (-0.47-6.70),233,99.15,3.83 (3.60-4.06),2.97,7.65
oligodendrocytes 10,483,0.101,43.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,111,0.316,60.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00),NA,1.84
astrocytes 15,443,0.111,20.0,9,2,22.22,2.04 (-0.10-4.18),7,77.78,3.68 (2.17-5.18),3.04,1.99
oligodendrocytes 16,71,0.299,89.0,1,1,100.0,3.52 (NA-NA),0,0.0,NA,1.65,NA
da neurons 6,729,0.103,24.0,182,4,2.2,1.44 (1.34-1.53),178,97.8,3.70 (3.45-3.95),3.86,8.63
astrocytes microglia 23,43,0.244,3.0,3,0,0.0,NA,3,100.0,1.82 (NA-NA),NA,2.20
astrocytes 4,1807,0.132,27.0,104,17,16.35,1.74 (1.27-2.20),87,83.65,3.10 (2.80-3.41),7.62,4.96
oligodendrocytes 0,546,0.118,20.0,252,15,5.95,1.63 (1.11-2.16),237,94.05,4.30 (4.06-4.54),11.65,7.99
microglia 1,406,0.097,15.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63),NA,6.74
oligodendrocytes 3,303,0.063,9.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94),NA,11.84
oligodendrocytes 2,526,0.232,41.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
