tipo_celular,module_size,EIF4G2_MM,EIF4G2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.176,27.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,393,0.109,19.0,59,2,3.39,3.21 (2.29-4.12),57,96.61,3.10 (2.58-3.62),1.93,5.46
astrocytes 5,228,0.22,71.0,266,16,6.02,3.04 (2.02-4.05),250,93.98,4.20 (3.99-4.41),4.25,5.03
oligodendrocyte progenitor cells 7,296,0.2,63.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30),NA,6.15
GABA neurons expressing GLU receptors 22,848,0.279,72.0,262,19,7.25,2.68 (1.91-3.45),243,92.75,4.31 (4.06-4.56),4.32,4.09
GLU like neurons 17,380,0.181,57.0,39,1,2.56,2.62 (NA-NA),38,97.44,2.98 (2.41-3.54),1.43,2.60
da like neurons 11,1220,0.326,85.0,410,21,5.12,3.79 (2.92-4.65),389,94.88,4.28 (4.09-4.47),8.57,7.46
GABA neurons expressing GABA receptors 13,200,0.195,75.0,34,1,2.94,3.68 (NA-NA),33,97.06,3.90 (2.98-4.81),1.37,3.55
endothelial cells 9,559,0.216,68.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,938,0.182,74.0,169,13,7.69,2.54 (1.77-3.31),156,92.31,3.58 (3.35-3.80),5.10,5.39
GABA like neurons 14,2402,0.475,86.0,455,31,6.81,3.06 (2.29-3.82),424,93.19,4.47 (4.29-4.66),15.24,8.37
astrocytes 8,520,0.196,69.0,288,20,6.94,3.34 (2.57-4.10),268,93.06,4.25 (4.05-4.45),4.28,4.72
oligodendrocyte progenitor cells 12,3303,0.055,21.0,276,33,11.96,2.52 (1.89-3.15),243,88.04,3.72 (3.50-3.94),7.39,4.80
oligodendrocytes 10,806,0.284,76.0,261,3,1.15,2.99 (1.26-4.72),258,98.85,4.39 (4.14-4.63),6.43,6.06
connective tissue cells 21,101,0.332,55.0,116,4,3.45,2.67 (1.20-4.14),112,96.55,4.71 (4.29-5.13),3.57,3.21
astrocytes 15,1768,0.112,73.0,105,26,24.76,2.52 (1.73-3.31),79,75.24,3.45 (3.11-3.80),5.01,3.64
oligodendrocytes 16,90,0.251,72.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09),NA,1.80
da neurons 6,553,0.205,85.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58),NA,3.03
astrocytes microglia 23,101,0.337,67.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.139,28.0,65,1,1.54,NA,64,98.46,2.96 (2.57-3.36),1.43,5.81
oligodendrocytes 0,613,0.185,82.0,127,13,10.24,3.19 (2.06-4.32),114,89.76,3.02 (2.58-3.47),3.07,6.64
microglia 1,214,0.15,39.0,227,3,1.32,2.92 (1.22-4.63),224,98.68,4.11 (3.87-4.35),4.14,6.15
oligodendrocytes 3,457,0.18,75.0,345,14,4.06,3.58 (2.65-4.50),331,95.94,4.31 (4.10-4.53),5.17,5.71
oligodendrocytes 2,528,0.299,85.0,175,13,7.43,3.82 (2.75-4.90),162,92.57,4.44 (4.07-4.81),3.82,4.68
