tipo_celular,module_size,PTGES3_MM,PTGES3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.254,97.0,71,12,16.9,2.18 (1.45-2.92),59,83.1,2.72 (2.24-3.19),2.68,3.76
T cells 18,477,0.183,65.0,43,1,2.33,8.28 (NA-NA),42,97.67,1.85 (1.47-2.22),1.31,7.26
astrocytes 5,423,0.3,94.0,80,7,8.75,4.63 (3.05-6.20),73,91.25,3.26 (2.77-3.75),2.55,5.26
oligodendrocyte progenitor cells 7,666,0.513,98.0,127,26,20.47,3.52 (2.65-4.39),101,79.53,3.93 (3.57-4.28),3.53,6.43
GABA neurons expressing GLU receptors 22,599,0.278,79.0,22,2,9.09,2.36 (-0.42-5.14),20,90.91,2.23 (1.38-3.08),1.72,4.17
GLU like neurons 17,1316,0.049,2.0,101,2,1.98,2.69 (2.37-3.01),99,98.02,3.06 (2.70-3.42),2.52,3.06
da like neurons 11,1220,0.152,39.0,410,26,6.34,3.63 (2.86-4.40),384,93.66,4.29 (4.10-4.49),7.85,7.49
GABA neurons expressing GABA receptors 13,417,0.162,50.0,213,33,15.49,2.41 (1.76-3.06),180,84.51,4.09 (3.86-4.32),6.73,10.23
endothelial cells 9,385,0.341,97.0,275,65,23.64,2.80 (2.31-3.28),210,76.36,4.45 (4.18-4.72),9.98,4.62
oligodendrocytes 20,938,0.109,41.0,169,15,8.88,3.03 (2.05-4.00),154,91.12,3.53 (3.31-3.75),5.20,5.38
GABA like neurons 14,2402,0.264,58.0,455,44,9.67,2.56 (1.97-3.16),411,90.33,4.58 (4.40-4.75),17.11,7.95
astrocytes 8,577,0.295,98.0,83,5,6.02,3.70 (1.09-6.30),78,93.98,3.22 (2.77-3.66),3.51,4.53
oligodendrocyte progenitor cells 12,708,0.119,54.0,25,3,12.0,2.57 (-0.32-5.47),22,88.0,2.92 (1.85-3.98),1.74,2.64
oligodendrocytes 10,483,0.159,64.0,129,5,3.88,4.92 (3.26-6.59),124,96.12,3.35 (2.95-3.75),8.79,19.61
connective tissue cells 21,142,0.238,14.0,55,17,30.91,2.98 (1.38-4.57),38,69.09,3.70 (2.76-4.64),3.99,2.97
astrocytes 15,458,0.116,62.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,87,0.158,27.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729,0.135,40.0,182,11,6.04,2.57 (1.85-3.30),171,93.96,3.72 (3.46-3.98),8.86,8.50
astrocytes microglia 23,327,0.488,89.0,120,23,19.17,2.29 (1.54-3.04),97,80.83,3.99 (3.72-4.26),3.82,2.55
astrocytes 4,514,0.477,98.0,95,12,12.63,3.57 (2.14-4.99),83,87.37,3.33 (2.90-3.76),3.14,4.86
oligodendrocytes 0,613,0.27,98.0,127,16,12.6,2.64 (1.77-3.52),111,87.4,3.12 (2.66-3.58),3.95,6.61
microglia 1,958,0.227,99.0,290,24,8.28,2.91 (2.17-3.65),266,91.72,3.91 (3.67-4.15),4.42,5.05
oligodendrocytes 3,681,0.106,61.0,87,31,35.63,1.75 (1.45-2.04),56,64.37,3.09 (2.76-3.41),5.93,3.31
oligodendrocytes 2,528,0.241,70.0,175,18,10.29,5.08 (4.10-6.07),157,89.71,4.29 (3.92-4.67),3.29,4.77
