tipo_celular,module_size,TULP4_MM,TULP4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401,0.185,69.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,610,0.246,96.0,98,3,3.06,1.58 (-0.37-3.52),95,96.94,3.17 (2.86-3.49),11.96,3.79
astrocytes 5,165,0.197,56.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01),NA,2.95
oligodendrocyte progenitor cells 7,448,0.122,34.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,823,0.21,71.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,637,0.278,79.0,91,3,3.3,1.58 (-0.37-3.52),88,96.7,4.67 (4.16-5.19),5.65,2.97
da like neurons 11,71,0.495,92.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,288,0.286,82.0,93,0,0.0,NA,93,100.0,5.15 (4.65-5.64),NA,3.95
endothelial cells 9,450,0.254,62.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,676,0.298,54.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44),NA,3.52
GABA like neurons 14,1300,0.261,75.0,306,1,0.33,3.52 (NA-NA),305,99.67,5.10 (4.83-5.36),4.88,6.71
astrocytes 8,771,0.364,86.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,138,0.39,14.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33),NA,2.28
oligodendrocytes 10,236,0.363,20.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51),NA,3.84
connective tissue cells 21,116,0.284,53.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68),NA,1.74
astrocytes 15,458,0.168,78.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,287,0.281,44.0,105,0,0.0,NA,105,100.0,5.07 (4.63-5.52),NA,3.47
da neurons 6,398,0.216,72.0,138,2,1.45,1.89 (-1.31-5.09),136,98.55,4.88 (4.51-5.24),4.85,2.70
astrocytes microglia 23,91,0.199,20.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA),NA,6.41
astrocytes 4,102,0.145,23.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40),NA,3.16
oligodendrocytes 0,479,0.088,2.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,346,0.145,49.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,99,0.192,31.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19),NA,2.23
oligodendrocytes 2,348,0.272,75.0,114,0,0.0,NA,114,100.0,5.11 (4.70-5.52),NA,4.39
