tipo_celular,module_size,AFTPH_MM,AFTPH_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159,0.185,34.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,477,0.236,85.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1656,0.132,77.0,136,4,2.94,3.93 (3.38-4.47),132,97.06,3.18 (2.91-3.46),3.14,5.04
oligodendrocyte progenitor cells 7,4285,0.171,94.0,353,28,7.93,2.11 (1.59-2.64),325,92.07,4.09 (3.91-4.28),31.86,6.01
GABA neurons expressing GLU receptors 22,714,0.16,38.0,17,7,41.18,2.52 (2.09-2.95),10,58.82,2.16 (1.20-3.12),2.27,4.47
GLU like neurons 17,1316,0.12,47.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,102,0.204,38.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.07 (2.93-3.20),2.05,1.90
GABA neurons expressing GABA receptors 13,77,0.17,50.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.97
endothelial cells 9,1653,0.106,33.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,279,0.297,77.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,3052,0.216,96.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577,0.053,20.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70),NA,4.47
oligodendrocyte progenitor cells 12,3303,0.141,97.0,276,20,7.25,2.65 (2.12-3.17),256,92.75,3.64 (3.40-3.87),15.69,4.28
oligodendrocytes 10,2107,0.2,69.0,358,23,6.42,2.03 (1.41-2.65),335,93.58,4.03 (3.84-4.22),37.96,7.52
connective tissue cells 21,104,0.263,36.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09),NA,1.73
astrocytes 15,377,0.024,2.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45),2.71,2.35
oligodendrocytes 16,82,0.185,33.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448,0.109,59.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,131,0.163,1.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54),NA,2.65
astrocytes 4,787,0.162,71.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078,0.134,87.0,238,7,2.94,3.18 (1.91-4.45),231,97.06,3.65 (3.43-3.88),6.33,4.98
microglia 1,958,0.165,93.0,290,3,1.03,2.27 (1.80-2.73),287,98.97,3.83 (3.60-4.06),5.20,5.00
oligodendrocytes 3,681,0.114,66.0,87,12,13.79,1.88 (1.23-2.53),75,86.21,2.71 (2.42-3.00),9.36,3.42
oligodendrocytes 2,921,0.164,88.0,200,5,2.5,2.33 (1.89-2.77),195,97.5,3.66 (3.39-3.93),5.45,3.41
