tipo_celular,module_size,FBXL5_MM,FBXL5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.19,68.0,97,1,1.03,2.53 (NA-NA),96,98.97,3.06 (2.66-3.46),4.42,4.91
T cells 18,727,0.097,15.0,49,10,20.41,4.11 (3.34-4.89),39,79.59,2.12 (1.75-2.49),4.94,6.57
astrocytes 5,1141,0.137,59.0,166,30,18.07,3.13 (2.61-3.64),136,81.93,3.46 (3.17-3.74),5.82,4.27
oligodendrocyte progenitor cells 7,4285,0.165,90.0,353,39,11.05,2.88 (2.41-3.35),314,88.95,4.04 (3.85-4.24),19.24,6.68
GABA neurons expressing GLU receptors 22,1069,0.148,38.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,685,0.135,54.0,135,8,5.93,1.92 (1.04-2.79),127,94.07,3.29 (2.97-3.60),4.94,3.67
da like neurons 11,153,0.209,41.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA),NA,6.43
GABA neurons expressing GABA receptors 13,93,0.126,21.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,1653,0.098,25.0,297,13,4.38,4.18 (3.50-4.87),284,95.62,3.66 (3.45-3.86),8.91,5.36
oligodendrocytes 20,250,0.151,35.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,3052,0.142,53.0,125,7,5.6,3.54 (2.91-4.17),118,94.4,3.34 (3.01-3.68),4.81,8.84
astrocytes 8,727,0.161,77.0,29,1,3.45,3.17 (NA-NA),28,96.55,2.33 (1.82-2.84),2.85,3.57
oligodendrocyte progenitor cells 12,3303,0.127,93.0,276,33,11.96,3.08 (2.60-3.56),243,88.04,3.62 (3.38-3.86),11.08,4.30
oligodendrocytes 10,2107,0.094,25.0,358,39,10.89,2.88 (2.41-3.35),319,89.11,4.01 (3.81-4.22),19.63,8.23
connective tissue cells 21,69,0.196,9.0,1,0,0.0,NA,1,100.0,NA,NA,1.82
astrocytes 15,1768,0.125,81.0,105,26,24.76,2.78 (2.27-3.29),79,75.24,3.37 (2.96-3.78),6.15,3.26
oligodendrocytes 16,91,0.155,17.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,228,0.085,33.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,108,0.207,4.0,2,0,0.0,NA,2,100.0,NA,NA,1.59
astrocytes 4,752,0.151,46.0,96,6,6.25,4.95 (4.11-5.79),90,93.75,3.22 (2.89-3.56),3.09,4.40
oligodendrocytes 0,1186,0.154,66.0,300,1,0.33,NA,299,99.67,3.79 (3.59-4.00),1.91,4.16
microglia 1,813,0.18,89.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,1003,0.082,34.0,111,4,3.6,3.56 (NA-NA),107,96.4,3.30 (2.95-3.65),3.66,4.25
oligodendrocytes 2,921,0.123,27.0,200,4,2.0,3.32 (2.24-4.41),196,98.0,3.63 (3.36-3.90),6.69,3.40
