tipo_celular,module_size,RPL5_MM,RPL5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.19,36.0,98,50,51.02,3.35 (2.75-3.94),48,48.98,3.08 (2.36-3.81),21.10,5.49
T cells 18,506,0.421,89.0,225,64,28.44,3.47 (3.02-3.91),161,71.56,3.67 (3.37-3.98),17.37,4.14
astrocytes 5,328,0.148,41.0,128,17,13.28,4.15 (3.58-4.72),111,86.72,3.48 (3.09-3.86),12.93,5.82
oligodendrocyte progenitor cells 7,448,0.223,81.0,108,19,17.59,4.53 (3.62-5.44),89,82.41,3.01 (2.54-3.49),20.85,16.32
GABA neurons expressing GLU receptors 22,848,0.317,79.0,262,48,18.32,3.55 (3.06-4.05),214,81.68,4.31 (4.03-4.59),6.54,3.56
GLU like neurons 17,685,0.12,41.0,135,65,48.15,2.74 (2.41-3.07),70,51.85,3.64 (3.15-4.13),5.08,2.52
da like neurons 11,1220,0.153,39.0,410,66,16.1,3.93 (3.58-4.29),344,83.9,4.31 (4.10-4.52),10.76,6.89
GABA neurons expressing GABA receptors 13,417,0.112,13.0,213,79,37.09,3.05 (2.63-3.47),134,62.91,4.15 (3.88-4.43),9.28,9.92
endothelial cells 9,916,0.41,86.0,302,31,10.26,4.08 (3.29-4.87),271,89.74,3.97 (3.73-4.21),19.89,9.60
oligodendrocytes 20,233,0.129,17.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,2402,0.507,89.0,455,103,22.64,3.71 (3.28-4.14),352,77.36,4.56 (4.36-4.75),14.83,7.08
astrocytes 8,603,0.103,67.0,89,24,26.97,2.74 (2.18-3.31),65,73.03,2.77 (2.32-3.22),8.32,5.20
oligodendrocyte progenitor cells 12,1049,0.289,91.0,235,44,18.72,4.55 (4.00-5.11),191,81.28,3.68 (3.43-3.93),13.78,6.19
oligodendrocytes 10,483,0.319,84.0,129,32,24.81,4.68 (4.03-5.33),97,75.19,3.07 (2.63-3.51),23.58,17.74
connective tissue cells 21,301,0.462,72.0,158,42,26.58,3.79 (3.17-4.42),116,73.42,4.43 (3.99-4.88),15.07,4.17
astrocytes 15,1768,0.112,73.0,105,37,35.24,2.40 (1.99-2.80),68,64.76,3.69 (3.26-4.13),6.16,2.79
oligodendrocytes 16,158,0.21,58.0,30,3,10.0,1.95 (NA-NA),27,90.0,2.35 (1.67-3.02),1.52,13.19
da neurons 6,729,0.203,73.0,182,37,20.33,3.66 (2.97-4.34),145,79.67,3.63 (3.36-3.90),16.91,6.38
astrocytes microglia 23,132,0.221,4.0,1,1,100.0,NA,0,0.0,NA,2.03,NA
astrocytes 4,1807,0.146,54.0,104,37,35.58,2.19 (1.82-2.56),67,64.42,3.28 (2.93-3.64),8.65,3.60
oligodendrocytes 0,546,0.187,60.0,252,91,36.11,3.56 (3.09-4.02),161,63.89,4.40 (4.13-4.68),14.24,4.80
microglia 1,406,0.371,75.0,278,28,10.07,4.69 (4.06-5.33),250,89.93,4.32 (4.03-4.62),20.75,5.17
oligodendrocytes 3,303,0.137,51.0,154,26,16.88,4.87 (4.08-5.65),128,83.12,3.42 (3.08-3.75),28.31,8.49
oligodendrocytes 2,526,0.249,46.0,213,30,14.08,5.29 (4.52-6.06),183,85.92,3.80 (3.52-4.08),17.34,6.40
