tipo_celular,module_size,RPL37A_MM,RPL37A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.527,94.0,98,28,28.57,2.66 (2.11-3.20),70,71.43,3.46 (2.84-4.08),32.99,5.64
T cells 18,506,0.184,51.0,225,29,12.89,2.82 (2.26-3.37),196,87.11,3.73 (3.46-4.00),32.48,4.27
astrocytes 5,328,0.197,64.0,128,10,7.81,3.70 (3.13-4.26),118,92.19,3.56 (3.18-3.93),20.70,5.58
oligodendrocyte progenitor cells 7,448,0.34,93.0,108,9,8.33,3.57 (3.00-4.15),99,91.67,3.22 (2.74-3.70),39.78,15.06
GABA neurons expressing GLU receptors 22,487,0.379,90.0,73,16,21.92,2.79 (2.13-3.45),57,78.08,2.74 (2.28-3.21),13.80,5.51
GLU like neurons 17,685,0.199,77.0,135,31,22.96,2.25 (1.76-2.74),104,77.04,3.44 (3.09-3.79),6.99,2.78
da like neurons 11,59,0.125,23.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,417,0.134,29.0,213,36,16.9,2.29 (1.72-2.86),177,83.1,4.07 (3.83-4.32),15.47,8.51
endothelial cells 9,916,0.51,92.0,302,14,4.64,3.49 (2.71-4.27),288,95.36,4.01 (3.77-4.24),36.15,9.41
oligodendrocytes 20,938,0.244,90.0,169,24,14.2,3.01 (2.35-3.67),145,85.8,3.55 (3.32-3.78),15.81,3.63
GABA like neurons 14,2402,0.466,86.0,455,37,8.13,2.05 (1.54-2.56),418,91.87,4.57 (4.39-4.75),28.15,7.12
astrocytes 8,603,0.113,71.0,89,19,21.35,2.52 (1.89-3.16),70,78.65,2.85 (2.43-3.27),10.04,4.96
oligodendrocyte progenitor cells 12,1049,0.397,96.0,235,17,7.23,3.53 (3.09-3.98),218,92.77,3.84 (3.60-4.09),28.92,5.95
oligodendrocytes 10,483,0.385,90.0,129,14,10.85,3.77 (3.30-4.24),115,89.15,3.39 (2.95-3.82),44.95,16.05
connective tissue cells 21,301,0.336,40.0,158,15,9.49,2.65 (1.95-3.35),143,90.51,4.50 (4.11-4.88),35.08,4.13
astrocytes 15,458,0.094,50.0,36,5,13.89,4.03 (3.13-4.94),31,86.11,3.71 (2.41-5.01),2.22,2.63
oligodendrocytes 16,105,0.267,76.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00),NA,13.60
da neurons 6,729,0.183,66.0,182,17,9.34,2.65 (2.00-3.30),165,90.66,3.74 (3.47-4.00),31.20,6.18
astrocytes microglia 23,137,0.32,34.0,188,29,15.43,2.28 (1.76-2.79),159,84.57,4.89 (4.55-5.23),26.52,3.61
astrocytes 4,721,0.121,8.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,546,0.213,71.0,252,38,15.08,2.24 (1.72-2.76),214,84.92,4.45 (4.21-4.70),27.72,4.75
microglia 1,406,0.489,88.0,278,8,2.88,3.69 (3.08-4.30),270,97.12,4.39 (4.11-4.67),63.64,5.05
oligodendrocytes 3,303,0.183,68.0,154,11,7.14,3.70 (3.13-4.26),143,92.86,3.61 (3.27-3.95),59.34,8.19
oligodendrocytes 2,526,0.34,73.0,213,8,3.76,3.69 (3.08-4.30),205,96.24,3.99 (3.71-4.28),54.82,6.11
