tipo_celular,module_size,SNX13_MM,SNX13_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.166,53.0,32,3,9.38,3.70 (0.83-6.57),29,90.62,3.73 (2.90-4.55),2.60,3.72
T cells 18,610,0.161,58.0,98,16,16.33,2.15 (1.36-2.95),82,83.67,3.33 (3.01-3.66),6.47,3.56
astrocytes 5,1141,0.166,89.0,166,4,2.41,0.43 (0.21-0.66),162,97.59,3.46 (3.21-3.70),5.22,4.53
oligodendrocyte progenitor cells 7,4285,0.137,53.0,353,22,6.23,2.33 (1.68-2.98),331,93.77,4.03 (3.84-4.21),25.86,6.88
GABA neurons expressing GLU receptors 22,1069,0.175,57.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1316,0.134,59.0,101,2,1.98,3.78 (2.99-4.57),99,98.02,3.03 (2.68-3.39),2.46,3.07
da like neurons 11,140,0.354,85.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,88,0.265,96.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,1653,0.151,68.0,297,1,0.34,NA,296,99.66,3.67 (3.47-3.88),1.91,5.53
oligodendrocytes 20,322,0.097,36.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,3052,0.174,79.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,283,0.216,85.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,218,0.326,63.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,2107,0.151,52.0,358,20,5.59,2.16 (1.46-2.86),338,94.41,4.00 (3.81-4.19),21.79,8.74
connective tissue cells 21,106,0.253,47.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA),NA,1.33
astrocytes 15,377,0.158,54.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,90,0.162,18.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09),NA,1.80
da neurons 6,398,0.087,12.0,138,8,5.8,4.72 (2.22-7.22),130,94.2,4.83 (4.48-5.19),2.68,2.74
astrocytes microglia 23,253,0.338,93.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17),NA,3.08
astrocytes 4,752,0.177,85.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,1186,0.148,57.0,300,3,1.0,3.29 (0.88-5.70),297,99.0,3.80 (3.59-4.00),1.74,4.18
microglia 1,1615,0.173,97.0,161,10,6.21,0.93 (0.32-1.54),151,93.79,3.46 (3.21-3.72),14.28,4.85
oligodendrocytes 3,854,0.117,77.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,921,0.162,86.0,200,9,4.5,3.40 (2.79-4.00),191,95.5,3.63 (3.36-3.91),5.32,3.38
