tipo_celular,module_size,BRI3_MM,BRI3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.174,63.0,71,0,0.0,NA,71,100.0,2.62 (2.21-3.03),NA,3.58
T cells 18,506,0.071,4.0,225,11,4.89,2.58 (1.80-3.35),214,95.11,3.67 (3.41-3.93),5.37,8.03
astrocytes 5,932,0.068,3.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285,0.099,9.0,353,11,3.12,1.13 (0.59-1.66),342,96.88,4.01 (3.82-4.19),37.88,7.10
GABA neurons expressing GLU receptors 22,400,0.369,95.0,24,8,33.33,0.96 (0.33-1.58),16,66.67,2.75 (2.27-3.24),5.62,2.56
GLU like neurons 17,300,0.163,26.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93),NA,2.47
da like neurons 11,1220,0.074,5.0,410,19,4.63,3.27 (2.74-3.81),391,95.37,4.30 (4.11-4.49),11.55,7.32
GABA neurons expressing GABA receptors 13,417,0.178,61.0,213,16,7.51,2.20 (1.39-3.01),197,92.49,3.92 (3.68-4.17),7.41,9.87
endothelial cells 9,916,0.378,83.0,302,7,2.32,2.51 (1.52-3.50),295,97.68,4.02 (3.79-4.24),6.88,10.74
oligodendrocytes 20,938,0.211,83.0,169,12,7.1,2.88 (2.20-3.56),157,92.9,3.53 (3.30-3.76),5.06,5.39
GABA like neurons 14,2402,0.222,48.0,455,25,5.49,2.48 (1.82-3.15),430,94.51,4.47 (4.28-4.65),22.87,8.02
astrocytes 8,283,0.078,19.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049,0.132,69.0,235,14,5.96,3.58 (3.12-4.05),221,94.04,3.84 (3.59-4.09),3.34,7.88
oligodendrocytes 10,483,0.134,56.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,118,0.465,99.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA),NA,3.19
astrocytes 15,1401,0.073,37.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,113,0.228,63.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75),NA,1.88
da neurons 6,729,0.194,70.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89),NA,8.52
astrocytes microglia 23,101,0.29,39.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.118,6.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,546,0.117,19.0,252,23,9.13,2.25 (1.62-2.88),229,90.87,4.32 (4.07-4.57),9.64,8.07
microglia 1,406,0.243,60.0,278,2,0.72,NA,276,99.28,4.36 (4.09-4.63),7.15,6.73
oligodendrocytes 3,357,0.059,19.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,526,0.191,26.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25),NA,7.94
