tipo_celular,module_size,POR_MM,POR_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.213,50.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.125,32.0,80,2,2.5,5.01 (4.04-5.98),78,97.5,3.35 (2.87-3.84),3.14,5.07
oligodendrocyte progenitor cells 7,4285.0,0.124,33.0,353,19,5.38,1.52 (1.00-2.05),334,94.62,4.07 (3.89-4.25),29.34,6.85
GABA neurons expressing GLU receptors 22,400.0,0.148,21.0,24,8,33.33,1.04 (0.27-1.81),16,66.67,2.71 (2.24-3.18),6.26,2.24
GLU like neurons 17,489.0,0.177,70.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,109.0,0.143,25.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,6.86
GABA neurons expressing GABA receptors 13,265.0,0.114,21.0,78,4,5.13,3.77 (3.66-3.88),74,94.87,4.40 (3.96-4.84),2.91,4.34
endothelial cells 9,303.0,0.077,16.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.183,71.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,283.0,0.127,45.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.055,21.0,235,9,3.83,3.81 (3.07-4.54),226,96.17,3.82 (3.58-4.07),6.13,7.67
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,103.0,0.295,56.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72),NA,1.57
astrocytes 15,367.0,0.04,7.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.121,61.0,122,18,14.75,2.25 (1.64-2.87),104,85.25,4.40 (3.99-4.82),5.50,3.13
astrocytes microglia 23,135.0,0.287,33.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514.0,0.167,40.0,95,6,6.32,2.24 (1.40-3.07),89,93.68,3.47 (3.03-3.92),2.31,4.80
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,958.0,0.059,1.0,290,1,0.34,0.79 (NA-NA),289,99.66,3.83 (3.60-4.06),5.96,5.00
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
